,price.open,price.high,price.low,price.close,volume,price.adjusted,ref.date,ticker,ret.adjusted.prices,ret.closing.prices,5 Day Percent Change,Direction
163,51.330002,51.650002,51.080002,51.330002,432500,49.356121,5/14/2018,NFG,0.000584808,0.000584854,0.10%,E
164,51.150002,51.43,50.919998,51.32,321800,49.346504,5/15/2018,NFG,-0.000194849,-0.000194857,0.36%,E
165,51.389999,51.709999,51.279999,51.509998,251400,49.529198,5/16/2018,NFG,0.003702268,0.003702221,0.14%,E
166,51.52,51.84,51.299999,51.380001,261500,49.404202,5/17/2018,NFG,-0.002523683,-0.002523724,0.03%,E
167,51.450001,51.5,50.939999,51.02,372200,49.058044,5/18/2018,NFG,-0.007006651,-0.007006637,-0.12%,E
168,51.139999,51.27,50.869999,51.200001,236900,49.231121,5/21/2018,NFG,0.003528005,0.003528048,-0.05%,E
169,51.200001,51.779999,51.09,51.23,375100,49.259964,5/22/2018,NFG,0.000585869,0.000585918,-0.11%,E
170,51.220001,51.310001,50.990002,51.23,284100,49.259964,5/23/2018,NFG,0,0,-0.06%,E
171,51.150002,51.400002,50.889999,51.34,309200,49.365738,5/24/2018,NFG,0.002147261,0.002147179,0.12%,E
172,51.279999,51.650002,51.049999,51.119999,304600,49.154198,5/25/2018,NFG,-0.004285158,-0.004285177,-0.03%,E
173,51.009998,51.759998,50.900002,51.470001,410500,49.490738,5/29/2018,NFG,0.006846618,0.006846675,0.09%,E
174,51.650002,52.84,51.650002,52.560001,417900,50.538826,5/30/2018,NFG,0.021177457,0.021177384,0.52%,U
175,52.810001,53.200001,52.27,52.639999,853700,50.615746,5/31/2018,NFG,0.001521998,0.001522032,0.50%,U
176,52.740002,52.799999,52.189999,52.57,360400,50.548439,6/1/2018,NFG,-0.001329764,-0.001329768,0.56%,U
177,52.68,53.119999,52.43,52.630001,408800,50.606129,6/4/2018,NFG,0.001141282,0.001141354,0.44%,E
178,52.540001,52.849998,52.259998,52.459999,307600,50.442669,6/5/2018,NFG,-0.003230044,-0.003230135,-0.04%,E
179,52.470001,52.610001,51.549999,51.619999,368200,49.634968,6/6/2018,NFG,-0.016012257,-0.0160122,-0.39%,E
180,51.73,52.310001,51.73,52.150002,247800,50.144592,6/7/2018,NFG,0.010267439,0.010267397,-0.16%,E
181,52.23,52.240002,51.720001,52.07,244300,50.067665,6/8/2018,NFG,-0.001534104,-0.001534075,-0.21%,E
182,52.139999,52.23,51.689999,52.040001,382100,50.038818,6/11/2018,NFG,-0.00057616,-0.000576128,-0.16%,E
183,52.099998,52.790001,51.990002,52.549999,326800,50.529213,6/12/2018,NFG,0.009800291,0.009800115,0.36%,E
184,52.630001,52.919998,52.349998,52.48,323300,50.461895,6/13/2018,NFG,-0.001332259,-0.001332046,0.13%,E
185,52.650002,53.299999,52.610001,52.880001,496000,50.846516,6/14/2018,NFG,0.007622009,0.00762197,0.31%,E
186,52.77,53,52.189999,52.669998,1023200,50.644592,6/15/2018,NFG,-0.003971246,-0.003971312,0.24%,E
187,52.650002,53.16,52.610001,52.810001,291000,50.779209,6/18/2018,NFG,0.002658073,0.002658117,0.10%,E
188,52.73,53.02,52.700001,52.810001,344700,50.779209,6/19/2018,NFG,0,0,0.13%,E
189,52.970001,53.48,52.630001,53.43,454600,51.375366,6/20/2018,NFG,0.011740179,0.011740182,0.21%,E
190,53.389999,53.75,52.439999,52.59,426300,50.567669,6/21/2018,NFG,-0.015721484,-0.015721505,-0.03%,E
191,52.689999,53.189999,52.52,52.709999,867700,50.683052,6/22/2018,NFG,0.002281754,0.002281784,-0.04%,E
192,52.650002,52.900002,52.279999,52.549999,294500,50.529213,6/25/2018,NFG,-0.003035314,-0.003035477,-0.10%,E
193,52.709999,53.560001,52.400002,52.939999,436700,50.904205,6/26/2018,NFG,0.007421291,0.007421503,-0.19%,E
194,53.049999,53.66,53.049999,53.34,389800,51.288834,6/27/2018,NFG,0.007555938,0.007555742,0.28%,E
195,52.959999,53.32,52.830002,52.84,305900,51.216137,6/28/2018,NFG,-0.001417404,-0.009373828,0.21%,E
196,52.82,53.419998,52.82,52.959999,288000,51.332447,6/29/2018,NFG,0.002270964,0.002270988,0.31%,E
197,52.790001,53.240002,52.689999,53.07,241100,51.439064,7/2/2018,NFG,0.00207699,0.002077058,0.21%,E
198,53.389999,53.91,53.25,53.529999,161500,51.88493,7/3/2018,NFG,0.008667848,0.008667778,0.23%,E
199,53.66,54.060001,53.490002,53.990002,273800,52.330795,7/5/2018,NFG,0.008593343,0.008593368,0.43%,E
200,54.09,55.110001,54.09,54.959999,374600,53.270985,7/6/2018,NFG,0.017966285,0.017966234,0.74%,U
201,55.139999,55.349998,54.5,54.59,478500,52.91235,7/9/2018,NFG,-0.006732276,-0.006732151,0.56%,U
202,54.639999,55.900002,54.59,55.509998,456400,53.804077,7/10/2018,NFG,0.016852909,0.016852867,0.73%,U
203,55.299999,55.639999,54.849998,54.900002,397200,53.212826,7/11/2018,NFG,-0.010988963,-0.010988939,0.33%,E
204,55.09,55.09,53.990002,54.639999,401700,52.960815,7/12/2018,NFG,-0.004735907,-0.004735938,-0.12%,E
205,54.720001,54.860001,54.43,54.57,313400,52.892967,7/13/2018,NFG,-0.001281098,-0.001281094,-0.01%,E
206,54.59,54.790001,54.25,54.66,307200,52.980198,7/16/2018,NFG,0.001649198,0.001649258,-0.31%,E
207,54.59,55.040001,54.470001,54.689999,236000,53.009277,7/17/2018,NFG,0.000548865,0.000548829,-0.08%,E
208,54.490002,54.619999,54,54.41,454700,52.737885,7/18/2018,NFG,-0.005119708,-0.005119748,-0.08%,E
209,54.25,55.16,54.130001,54.740002,705900,53.057747,7/19/2018,NFG,0.006065128,0.006065098,0.06%,E
210,54.790001,54.790001,53.950001,54.220001,445300,52.553726,7/20/2018,NFG,-0.00949948,-0.00949947,-0.16%,E
211,54.080002,54.189999,53.439999,53.68,393200,52.030319,7/23/2018,NFG,-0.009959465,-0.009959443,-0.37%,E
212,53.849998,54.119999,53.43,53.990002,236700,52.330795,7/24/2018,NFG,0.005775017,0.005775,-0.15%,E
213,54.009998,54.150002,53.560001,53.93,290700,52.27264,7/25/2018,NFG,-0.001111296,-0.001111354,-0.30%,E
214,54.02,54.720001,53.82,54.02,349400,52.359875,7/26/2018,NFG,0.001668846,0.00166883,-0.07%,E
215,53.889999,54.220001,52.91,53.02,377400,51.390602,7/27/2018,NFG,-0.018511752,-0.018511662,-0.25%,E
216,53.02,53.650002,52.900002,53.16,330500,51.526295,7/30/2018,NFG,0.002640424,0.002640513,-0.31%,E
217,53.389999,53.889999,53.049999,53.700001,908600,52.049706,7/31/2018,NFG,0.010158134,0.010158032,-0.09%,E
218,53.779999,53.779999,52.740002,52.830002,539800,51.206444,8/1/2018,NFG,-0.016201091,-0.016201098,-0.45%,E
219,52.630001,53.639999,52.049999,53.139999,560600,51.506916,8/2/2018,NFG,0.005867855,0.005867821,0.05%,E
220,53.889999,55.34,53,53.110001,819800,51.47784,8/3/2018,NFG,-0.000564507,-0.000564509,-0.02%,E
221,53.349998,54.200001,53.240002,53.950001,298500,52.292023,8/6/2018,NFG,0.015816184,0.01581623,0.09%,E
222,54.200001,55.779999,54.139999,55.41,450200,53.70715,8/7/2018,NFG,0.027062005,0.027062075,0.96%,U
223,55.34,55.360001,54.77,55.299999,319200,53.600533,8/8/2018,NFG,-0.001985155,-0.001985219,0.80%,U
224,55.110001,55.639999,54.939999,55.27,435600,53.571457,8/9/2018,NFG,-0.000542457,-0.000542477,0.79%,U
225,55.200001,55.84,55.16,55.209999,299200,53.513302,8/10/2018,NFG,-0.001085559,-0.001085598,0.46%,E
226,55.220001,55.439999,54.610001,55,244500,53.309753,8/13/2018,NFG,-0.003803708,-0.003803641,-0.15%,E
227,55.16,56,55.110001,55.59,337800,53.881618,8/14/2018,NFG,0.010727212,0.010727273,0.10%,E
228,55.669998,55.740002,55.150002,55.490002,366600,53.784698,8/15/2018,NFG,-0.001798758,-0.001798849,0.08%,E
